tweet_id,tweet_text,polarity
1,"RT @Ajeetsi04835004: #BEdTET2011_से_भाजपा_के_वादे Life is not so long sir, we are waiting for our right from 10 years . I pleadingly reques…",positive
2,"RT @AbhishBanerj: Can you Imagine!

Supreme Court judge Indira Banerjee, who is from Kolkata, recuses herself from hearing plea filed by ki…",negative
3,RT @sandeep37031453: Bjp always  show power on weak peoples because they work for strong  #BJP_DefamingFarmers,positive
4,"RT @AbhishBanerj: Do you know what fascism is?

Kerala govt banned BJP from holding a meeting of just 12 office bearers citing Covid protoc…",positive
5,"RT @uppuSSinghh: State BJP Unit of Uttar Pradesh is constantly showing arrogance to PM Modi.

They should not forget that they got 325 seat…",neutral
6,"RT @indijaswaloye: Today Hashtag
Retweet 

#BJP_DefamingFarmers https://t.co/cxIjK3zdQE",positive
7,"Sir,  This shows the hypocrisy of your BJP led govt
You failed the Hindus of India and now you are failing whole In… https://t.co/miJe3BckQZ",neutral
8,"RT @IamNaveenKapoor: After all the speculation that former secy in PMO AK Sharma to be part of UP cabinet , he has been appointed as  state…",positive
9,BJP eyes bigger role in UP for Modi’s man who scripted Varanasi ‘Covid turnaround’ https://t.co/1XDnlm8ScN via @ThePrintIndia,positive
10,RT @asadowaisi: Three empty tweets but not a word about the elephant in the room? Say the magic word @PChidambaram_IN:  UAPA. You enacted d…,positive
11,"There is someone in Maharashtra disguising as BJP supporter &amp; trading personal details of others with Shivsena.

St… https://t.co/vQyNAo3iP1",positive
12,"RT @UnitedWithINC: This is beyond imagination!

The way few senior Delhi police officers, CBI, ED &amp; Judges of SC &amp; HC’s are working for BJP…",negative
13,"Coronavirus was labeled with “Tableegi Crime”, by the Nazi BJP organization and this fake news were spread througho… https://t.co/MoVp3OnnGc",neutral
14,"@RahulGandhi at the same time havingPrediction ,ability to build a team&amp;Delegate withInspiring personality to many2… https://t.co/VakksA66JJ",neutral
15,"RT @Sanginamby: Aditya Yoginath
Dolan Trump
Shucking water from wind
Cloud cover
Gutter gas
No climate change, WE change
50 days of demonet…",neutral
16,"RT @davinder_7: Retweet maximum if u support this hashtag 

#BJP_DefamingFarmers https://t.co/bcXF7tekkc",neutral
17,RT @Sassy_Hindu: Mamata Banerjee has demanded the Nandigram election results be re-evaluated. The Kolkata HC has agreed to listen to her pe…,positive
18,RT @mueen_syeed: @AsianetNewsSN @News18Kannada @TimesNow These Media houses are working as the Spokesperson of BJP.They spread fake agenda’…,positive
19,"RT @isindianpolitic: #RahulisHope for BJP, I always pray that he continue leading congress forever! 

It will be his biggest contribution f…",positive
20,"RT @SaketGokhale: What’s the pits of shamelessness? 

A man who unlawfully continued to be a nominated member of the Rajya Sabha after join…",positive
21,"RT @MdShafi_SDPI: Reject the communal politics of BJP
#TnAssemblyResoluteAgainstCAA",positive
22,"RT @HarrisBabu4: BJP divides the nation communally
#TnAssemblyResoluteAgainstCAA https://t.co/xUB7iCXQsi",positive
23,@Manathilpatadhu @Selvakumar_IN @annamalai_k @Narayanan3 @ikkmurugan @BJP4TamilNadu @BJP_Gayathri_R Will you get answer for this question ??,positive
24,"RT @pbhushan1: Exclusive: Ayodhya BJP mayor’s nephew bought land for 20 lakh, sold it to Ram temple trust for 2.5 Cr! The transactions happ…",negative
